filename,policy,query_type,cross_ratio,zipf_theta,rw_ratio,num_clflush,num_clwb,num_cache_hit,num_cache_miss,cache_hit_rate,total_commit,total_size_index_usage,total_size_metadata_usage,total_size_data_usage,total_size_transport_usage,total_size_misc_usage,total_hw_cc_usage,total_usage,round_trip_latency_50th,round_trip_latency_75th,round_trip_latency_95th,round_trip_latency_99th
policy_Clock_query_rmw_cross10_zipf0.5_rw10.txt,Clock,rmw,10.0,0.5,10.0,358362.0,2046690.0,1869949.0,358362.0,83.9178,27081.5,6635680.0,1804376.0,236824350.0,33554544.0,344.0,8440400.0,156524078.0,58.0,61.0,69.0,69.0
policy_Clock_query_rmw_cross10_zipf0.5_rw50.txt,Clock,rmw,10.0,0.5,50.0,462753.0,2266507.0,3869989.0,462753.0,89.3196,44801.6,8582104.0,2328864.0,305663400.0,33554544.0,344.0,10911312.0,191601332.0,58.0,63.0,72.0,72.0
policy_Clock_query_rmw_cross10_zipf0.5_rw90.txt,Clock,rmw,10.0,0.5,90.0,818309.0,2019469.0,17504517.0,818309.0,95.5339,146761.0,11308752.0,3119584.0,409445400.0,33554544.0,344.0,14428680.0,245445196.0,58.0,61.0,72.0,72.0
policy_Clock_query_rmw_cross10_zipf0.7_rw10.txt,Clock,rmw,10.0,0.7,10.0,345596.0,2225526.0,2233304.0,345596.0,86.5991,26262.2,5343752.0,1464904.0,192268650.0,33554544.0,344.0,6809000.0,133194298.0,58.0,61.0,68.0,68.0
policy_Clock_query_rmw_cross10_zipf0.7_rw50.txt,Clock,rmw,10.0,0.7,50.0,448105.0,2339933.0,4212415.0,448105.0,90.3851,43531.0,7115280.0,1949192.0,255831450.0,33554544.0,344.0,9064816.0,166009132.0,58.0,63.0,74.0,74.0
policy_Clock_query_rmw_cross10_zipf0.7_rw90.txt,Clock,rmw,10.0,0.7,90.0,816670.0,2000043.0,17528399.0,816670.0,95.5483,144248.0,10864672.0,2948624.0,387006900.0,33554544.0,344.0,13813640.0,233962530.0,58.0,63.0,73.0,73.0
policy_Clock_query_rmw_cross10_zipf0.99_rw10.txt,Clock,rmw,10.0,0.99,10.0,,,,,,,,,,,,,,,,,
policy_Clock_query_rmw_cross10_zipf0.99_rw50.txt,Clock,rmw,10.0,0.99,50.0,278307.0,1506377.0,4267666.0,278307.0,93.8779,24985.8,2711392.0,743512.0,97585950.0,33554544.0,344.0,3455248.0,84140576.0,58.0,62.0,74.0,74.0
policy_Clock_query_rmw_cross10_zipf0.99_rw90.txt,Clock,rmw,10.0,0.99,90.0,581572.0,1391214.0,13689992.0,581572.0,95.925,98959.9,6335072.0,1711160.0,224589750.0,33554544.0,344.0,8046576.0,149907818.0,58.0,65.0,75.0,75.0
policy_Clock_query_rmw_cross50_zipf0.5_rw10.txt,Clock,rmw,50.0,0.5,10.0,1194409.0,2916145.0,1946941.0,1194409.0,61.9778,24646.6,11127024.0,3050816.0,400419600.0,33554544.0,344.0,14178184.0,240825422.0,58.0,62.0,69.0,69.0
policy_Clock_query_rmw_cross50_zipf0.5_rw50.txt,Clock,rmw,50.0,0.5,50.0,1518751.0,2971747.0,4146717.0,1518751.0,73.1928,43126.3,11685192.0,3177832.0,417090450.0,33554544.0,344.0,14863368.0,249506970.0,60.0,65.0,76.0,76.0
policy_Clock_query_rmw_cross50_zipf0.5_rw90.txt,Clock,rmw,50.0,0.5,90.0,1651832.0,2105441.0,17481806.0,1651832.0,91.3669,138177.0,11753512.0,3199992.0,419998950.0,33554544.0,344.0,14953848.0,251136752.0,59.0,63.0,71.0,71.0
